Source,Target,weight
Addam-Marbrand,Jaime-Lannister,3
Addam-Marbrand,Tywin-Lannister,6
Aegon-Targaryen,Daenerys-Targaryen,5
Aegon-Targaryen,Eddard-Stark,4
Aemon-Targaryen,Alliser-Thorne,4
Aemon-Targaryen,Bowen-Marsh,4
Aemon-Targaryen,Chett,9
Aemon-Targaryen,Clydas,5
Aemon-Targaryen,Jeor-Mormont,13
Aemon-Targaryen,Jon-Snow,34
Aemon-Targaryen,Samwell-Tarly,5
Aerys-II-Targaryen,Brandon-Stark,4
Aerys-II-Targaryen,Eddard-Stark,10
Aerys-II-Targaryen,Gerold-Hightower,3
Aerys-II-Targaryen,Jaime-Lannister,5
Aerys-II-Targaryen,Jon-Arryn,3
Aerys-II-Targaryen,Robert-Baratheon,12
Aggo,Daenerys-Targaryen,11
Aggo,Drogo,6
Aggo,Jhogo,4
Aggo,Jorah-Mormont,5
Aggo,Quaro,3
Aggo,Rakharo,7
Albett,Halder,3
Albett,Jon-Snow,5
Albett,Rast,3
Alliser-Thorne,Bowen-Marsh,3
Alliser-Thorne,Grenn,3
Alliser-Thorne,Halder,4
Alliser-Thorne,Jeor-Mormont,10
Alliser-Thorne,Jon-Snow,32
Alliser-Thorne,Pypar,4
Alliser-Thorne,Rast,5
Alliser-Thorne,Samwell-Tarly,8
Alliser-Thorne,Tyrion-Lannister,7
Alyn,Eddard-Stark,11
Alyn,Harwin,6
Alyn,Jory-Cassel,8
Alyn,Robert-Baratheon,4
Alyn,Tomard,3
Arthur-Dayne,Gerold-Hightower,4
Arya-Stark,Benjen-Stark,3
Arya-Stark,Bran-Stark,14
Arya-Stark,Catelyn-Stark,5
Arya-Stark,Cersei-Lannister,12
Arya-Stark,Desmond,3
Arya-Stark,Eddard-Stark,30
Arya-Stark,Ilyn-Payne,5
Arya-Stark,Jeyne-Poole,10
Arya-Stark,Joffrey-Baratheon,39
Arya-Stark,Jon-Snow,37
Arya-Stark,Jory-Cassel,12
Arya-Stark,Meryn-Trant,4
Arya-Stark,Mordane,39
Arya-Stark,Mycah,18
Arya-Stark,Myrcella-Baratheon,13
Arya-Stark,Petyr-Baelish,3
Arya-Stark,Rickon-Stark,7
Arya-Stark,Robb-Stark,15
Arya-Stark,Robert-Baratheon,8
Arya-Stark,Rodrik-Cassel,3
Arya-Stark,Sandor-Clegane,7
Arya-Stark,Sansa-Stark,104
Arya-Stark,Syrio-Forel,20
Arya-Stark,Tomard,6
Arya-Stark,Tommen-Baratheon,5
Arya-Stark,Vayon-Poole,4
Arya-Stark,Yoren,4
Arys-Oakheart,Cersei-Lannister,3
Balon-Greyjoy,Eddard-Stark,3
Balon-Greyjoy,Robert-Baratheon,4
Balon-Swann,Renly-Baratheon,3
Balon-Swann,Sandor-Clegane,3
Barristan-Selmy,Boros-Blount,3
Barristan-Selmy,Cersei-Lannister,12
Barristan-Selmy,Eddard-Stark,28
Barristan-Selmy,Jaime-Lannister,4
Barristan-Selmy,Joffrey-Baratheon,6
Barristan-Selmy,Jon-Arryn,4
Barristan-Selmy,Meryn-Trant,3
Barristan-Selmy,Petyr-Baelish,7
Barristan-Selmy,Pycelle,8
Barristan-Selmy,Renly-Baratheon,13
Barristan-Selmy,Robert-Baratheon,40
Barristan-Selmy,Sandor-Clegane,3
Barristan-Selmy,Sansa-Stark,3
Barristan-Selmy,Varys,9
Benjen-Stark,Bran-Stark,6
Benjen-Stark,Cersei-Lannister,3
Benjen-Stark,Jaremy-Rykker,3
Benjen-Stark,Jeor-Mormont,9
Benjen-Stark,Jon-Snow,41
Benjen-Stark,Luwin,7
Benjen-Stark,Mance-Rayder,3
Benjen-Stark,Robb-Stark,7
Benjen-Stark,Robert-Baratheon,3
Benjen-Stark,Theon-Greyjoy,4
Benjen-Stark,Tyrion-Lannister,8
Benjen-Stark,Waymar-Royce,3
Benjen-Stark,Yoren,4
Beric-Dondarrion,Eddard-Stark,3
Beric-Dondarrion,Gregor-Clegane,6
Beric-Dondarrion,Loras-Tyrell,5
Beric-Dondarrion,Robert-Baratheon,5
Beric-Dondarrion,Sansa-Stark,4
Beric-Dondarrion,Thoros-of-Myr,5
Boros-Blount,Cersei-Lannister,9
Boros-Blount,Joffrey-Baratheon,3
Boros-Blount,Meryn-Trant,5
Boros-Blount,Sansa-Stark,6
Bowen-Marsh,Jeor-Mormont,8
Bowen-Marsh,Jon-Snow,10
Bowen-Marsh,Samwell-Tarly,3
Bran-Stark,Catelyn-Stark,18
Bran-Stark,Cersei-Lannister,6
Bran-Stark,Eddard-Stark,19
Bran-Stark,Hali,3
